Varibale_1,Varibale_2,Varibale_3,Label
1.513895966,0.295674309,-0.888960445,1
-0.4710347,-1.035909505,-2.111976687,0
-0.680525344,-0.27259746,-0.774564541,0
-0.532293034,-0.78145628,-2.112926749,0
-0.529417528,-0.735309354,-2.342058286,0
-0.531695908,-1.100575447,-1.913946485,0
-0.348569193,-1.502225846,-2.050060311,0
-0.479662647,-1.079593536,-2.066432653,0
1.510279323,0.589567559,-1.332114377,1
1.560746182,-0.090068313,-0.635984508,1
1.95289232,-1.004629799,-0.556711039,1
2.024430971,-1.01543402,-0.759048952,1
2.001398519,-1.069145984,-0.804884891,1
2.078727536,-1.290194421,-1.21258965,1
2.007950625,-1.272962385,-0.998372907,1
2.453848602,-2.505285774,-1.729444889,1
2.387167432,-2.436871364,-1.430655241,1
2.416798874,-2.730431435,-1.624884188,1
2.435672088,-2.685944655,-1.588646499,1
2.341484947,-2.433161077,-1.743274562,1
2.461248429,-2.183351432,-1.577313548,1
2.498105206,-3.157106043,-1.440284671,1
0.536846611,-4.420076101,-2.927306106,0
0.61740198,-4.36404495,-3.023594035,0
0.538526676,-3.613642627,-2.466748226,0
0.47991787,-3.679414631,-2.441783171,0
2.460944642,-2.559340198,-1.914486776,1
2.485785914,-2.523721417,-1.910755673,1
2.392415844,-2.56080642,-1.74473477,1
2.381811151,-2.390338969,-1.769447352,1
0.75594872,-4.543309415,-2.795172839,0
-0.187832841,-2.240009433,-1.004524094,0
2.474017089,-3.03456085,-1.136020307,1
-1.31395422,0.898174576,1.943862683,0
1.354832602,1.679087052,-0.513159852,1
1.453060152,1.773782243,-0.582729021,1
-0.148364248,-0.259522432,-3.825131387,0
1.362272817,1.903880095,-0.109009592,1
1.451742272,1.775597466,-0.575649317,1
1.878226931,1.168321397,-2.799701331,1
1.754029101,1.080027006,-2.650808647,1
1.382946564,1.829538666,-0.294131118,1
1.847694983,1.215019305,-2.635808764,1
-0.104785042,-0.196237516,-3.814467663,0
1.378931132,1.926933639,-0.106876098,1
-0.32734695,0.066366581,-2.874909119,0
-1.065800994,0.725570043,-1.238239036,0
0.815151504,2.429940381,0.661484053,1
-0.670627897,0.044389747,-1.014390403,0
-0.717440449,0.353118533,-1.031542109,0
-0.698146374,0.372541631,-1.043568022,0
-0.826636651,1.084362286,-1.56976255,0
-0.905005458,1.090646667,-1.363629625,0
-1.031396489,0.332421375,-0.807364572,0
-0.822161607,0.493004989,-1.028708206,0
-1.010793425,1.258952287,-1.364544756,0
-1.23017209,1.11260948,-1.08686141,0
-0.964361562,1.223989671,-1.340179469,0
-0.973027133,0.606634646,-0.746480898,0
-0.869020396,0.65225748,-0.924531567,0
-0.905877766,0.69092988,-0.754843469,0
-0.915144907,0.664903939,-0.782558636,0
